Date,Price,Sales
2019-10-27,186.28,3872.79
2019-10-28,182.925,5201.85
2019-10-29,190.07,4137.42
2019-10-30,183.43,2422.83
2019-10-31,182.055,6083.87
2019-11-01,183.005,2345.98
2019-11-02,183.285,2992.04
2019-11-03,181.49,2294.41
2019-11-04,186.02,2847.28
2019-11-05,189.42000000000002,2273.07
2019-11-06,190.755,4514.94
2019-11-07,187.45,2742.82
2019-11-08,184.32999999999998,4740.21
2019-11-09,184.325,3766.78
2019-11-10,189.575,1801.12
2019-11-11,185.54,1115.64
2019-11-12,186.42,1960.4
2019-11-13,188.095,3588.66
2019-11-14,183.62,2341.57
2019-11-15,180.29000000000002,1010.9
2019-11-16,182.76999999999998,15692.15
2019-11-17,183.54500000000002,2431.87
2019-11-18,178.01999999999998,2145.05
2019-11-19,176.08999999999997,4172.31
2019-11-20,175.10500000000002,7852.51
2019-11-21,162.24,16145.53
2019-11-22,148.49,81432.79
2019-11-23,151.8,63963.01
2019-11-24,139.765,61228.2
2019-11-25,146.39499999999998,31167.17
2019-11-26,146.60500000000002,36669.98
2019-11-27,153.27,45569.5
2019-11-28,151.76999999999998,49064.41
2019-11-29,154.19,63339.91
2019-11-30,149.39,47552.2
2019-12-01,150.875,53926.89
2019-12-02,149.245,35435.93
2019-12-03,146.0,73586.47
2019-12-04,145.62,33730.13
2019-12-05,148.1,56198.94
2019-12-06,148.92000000000002,31221.16
2019-12-07,148.445,42733.2
2019-12-08,151.03,35421.94
2019-12-09,147.74,55022.45
2019-12-10,145.88,31757.97
2019-12-11,141.99,22733.71
2019-12-12,144.9,18831.78
2019-12-13,144.825,14687.5
2019-12-14,141.22,20439.73
2019-12-15,141.89499999999998,14903.94
2019-12-16,132.16500000000002,15573.57
2019-12-17,123.465,16917.98
2019-12-18,130.59,14101.26
2019-12-19,127.79499999999999,12123.99
2019-12-20,128.095,13508.97
2019-12-21,127.605,12213.74
2019-12-22,133.56,11200.62
2019-12-23,128.115,7001.76
2019-12-24,126.97999999999999,14884.27
2019-12-25,125.22,17030.41
2019-12-26,126.02000000000001,33454.28
2019-12-27,125.11000000000001,29199.41
2019-12-28,128.055,23680.32
2019-12-29,134.44,42260.95
2019-12-30,131.645,27517.41
2019-12-31,129.865,18726.27
2020-01-01,129.82999999999998,31694.74
2020-01-02,127.91999999999999,39567.18
2020-01-03,133.86,29385.57
2020-01-04,135.64499999999998,92069.49
2020-01-05,137.535,45104.74
2020-01-06,143.73000000000002,57129.09
2020-01-07,145.25,56428.35
2020-01-08,140.6,103577.19
2020-01-09,137.26,23186.62
2020-01-10,144.08999999999997,53580.34
2020-01-11,143.22,30624.33
2020-01-12,144.875,20308.2
2020-01-13,146.925,24030.32
2020-01-14,166.37,54118.03
2020-01-15,163.13,26020.77
2020-01-16,164.77,25242.02
2020-01-17,170.86,61495.1
2020-01-18,175.65,22162.35
2020-01-19,166.005,15478.68
2020-01-20,167.28500000000003,11889.0
2020-01-21,168.97,29463.0
2020-01-22,166.385,14532.62
2020-01-23,160.76999999999998,80462.14
2020-01-24,160.22500000000002,52250.15
2020-01-25,160.655,12235.63
2020-01-26,168.08999999999997,8311.85
2020-01-27,171.9,21894.93
2020-01-28,176.33999999999997,33620.14
2020-01-29,172.85,19553.44
2020-01-30,184.005,10166.76
2020-01-31,181.765,42517.28
2020-02-01,181.585,22187.18
2020-02-02,191.18,10743.08
2020-02-03,189.305,13788.11
2020-02-04,189.195,59519.2
2020-02-05,203.89999999999998,58513.26
2020-02-06,217.02999999999997,186982.23
2020-02-07,219.09,70658.21
2020-02-08,225.95499999999998,27708.33
2020-02-09,225.935,20928.75
2020-02-10,220.82999999999998,27594.54
2020-02-11,241.92000000000002,56444.84
2020-02-12,269.72,44900.6
2020-02-13,267.37,125195.7
2020-02-14,283.26,37472.9
2020-02-15,266.35,25864.11
2020-02-16,251.68,41004.93
2020-02-17,251.68,28557.41
2020-02-18,280.155,68862.56
2020-02-19,260.94500000000005,17931.86
2020-02-20,258.92,32534.22
2020-02-21,263.73,54275.28
2020-02-22,264.57,43133.72
2020-02-23,271.445,35816.89
2020-02-24,263.625,39863.43
2020-02-25,243.425,70301.37
2020-02-26,217.44,43501.77
2020-02-27,230.775,26256.08
2020-02-28,229.62,59588.13
2020-02-29,220.91,29980.81
2020-03-01,219.06,28142.67
2020-03-02,229.95499999999998,48618.59
2020-03-03,225.66,84801.41
2020-03-04,225.2,37125.41
2020-03-05,229.2,23248.42
2020-03-06,244.12,65597.45
2020-03-07,233.525,41075.45
2020-03-08,202.435,32042.13
2020-03-09,202.365,27677.35
2020-03-10,201.53,51247.36
2020-03-11,189.175,43092.08
2020-03-12,112.78,15827.35
2020-03-13,132.15,44031.19
2020-03-14,122.34,13203.94
2020-03-15,122.57499999999999,14134.19
2020-03-16,115.13499999999999,11811.64
2020-03-17,116.3,32141.12
2020-03-18,117.41,10937.93
2020-03-19,135.66000000000003,21330.17
2020-03-20,133.625,10269.49
2020-03-21,133.255,26386.43
2020-03-22,123.075,9116.09
2020-03-23,135.565,8379.73
2020-03-24,138.225,35307.08
2020-03-25,136.58499999999998,22724.42
2020-03-26,139.47,12725.93
2020-03-27,128.89000000000001,16798.37
2020-03-28,130.5,25363.83
2020-03-29,126.235,13047.67
2020-03-30,132.57,19336.5
2020-03-31,132.335,43855.05
2020-04-01,136.595,17821.67
2020-04-02,141.56,13792.54
2020-04-03,140.69,14337.57
2020-04-04,144.35,16059.11
2020-04-05,143.55,19929.56
2020-04-06,171.68,25634.68
2020-04-07,168.29,44519.45
2020-04-08,171.525,20710.62
2020-04-09,166.66,17834.51
2020-04-10,159.055,18209.39
2020-04-11,157.555,15226.8
2020-04-12,154.68,15272.74
2020-04-13,156.935,14228.76
2020-04-14,158.035,21962.99
2020-04-15,151.23000000000002,22052.03
2020-04-16,171.665,17216.67
