3/16/16,1185
3/17/16,1211
3/18/16,1123
3/19/16,943
3/20/16,1304
3/21/16,2233
3/22/16,859
3/23/16,944
3/24/16,1982
3/25/16,927
3/26/16,712
3/27/16,716
3/28/16,1298
3/29/16,1589
3/30/16,1745
3/31/16,988
4/1/16,830
4/2/16,743
4/3/16,846
4/4/16,1000
4/5/16,1067
4/6/16,967
4/7/16,2284
4/8/16,862
4/9/16,759
4/10/16,1073
4/11/16,891
4/12/16,1150
4/13/16,907
4/14/16,978
4/15/16,1139
4/16/16,701
4/17/16,781
4/18/16,1014
4/19/16,962
4/20/16,984
4/21/16,883
4/22/16,924
4/23/16,607
4/24/16,543
4/25/16,923
4/26/16,894
4/27/16,735
4/28/16,935
4/29/16,916
4/30/16,951
5/1/16,773
5/2/16,1114
5/3/16,2628
5/4/16,1261
5/5/16,1181
5/6/16,1085
5/7/16,703
5/8/16,856
5/9/16,1110
5/10/16,970
5/11/16,1078
5/12/16,905
5/13/16,946
5/14/16,764
5/15/16,1009
5/16/16,1588
5/17/16,1346
5/18/16,1636
5/19/16,1929
5/20/16,1638
5/21/16,977
5/22/16,1162
5/23/16,1236
5/24/16,1407
5/25/16,1470
5/26/16,1380
5/27/16,1171
5/28/16,1714
5/29/16,1409
5/30/16,3305
5/31/16,1465
6/1/16,2023
6/2/16,1294
6/3/16,1188
6/4/16,844
6/5/16,1091
6/6/16,1072
6/7/16,1500
6/8/16,1673
6/9/16,1573
6/10/16,1324
6/11/16,1086
6/12/16,1200
6/13/16,1766
6/14/16,2136
6/15/16,1780
6/16/16,2106
6/17/16,6219
6/18/16,4386
6/19/16,3235
6/20/16,2649
6/21/16,2523
6/22/16,2402
6/23/16,1877
6/24/16,1896
6/25/16,1315
6/26/16,1175
6/27/16,1425
6/28/16,1512
6/29/16,1945
6/30/16,1303
7/1/16,1241
7/2/16,1326
7/3/16,1061
7/4/16,933
7/5/16,1128
7/6/16,1020
7/7/16,1186
7/8/16,1122
7/9/16,817
7/10/16,961
7/11/16,1236
7/12/16,1087
7/13/16,934
7/14/16,1023
7/15/16,1280
7/16/16,1102
7/17/16,1330
7/18/16,1377
7/19/16,1904
7/20/16,3555
7/21/16,2207
7/22/16,2045
7/23/16,1362
7/24/16,2808
7/25/16,2338
7/26/16,2943
7/27/16,2343
7/28/16,1948
7/29/16,2028
7/30/16,1618
7/31/16,1574
8/1/16,1862
8/2/16,3703
8/3/16,1734
8/4/16,1466
8/5/16,1850
8/6/16,1036
8/7/16,970
8/8/16,1441
8/9/16,1517
8/10/16,1293
8/11/16,1467
8/12/16,1586
8/13/16,1400
8/14/16,1219
8/15/16,1396
8/16/16,1516
8/17/16,1285
8/18/16,1372
8/19/16,1246
8/20/16,978
8/21/16,938
8/22/16,968
8/23/16,1294
8/24/16,1296
8/25/16,1485
8/26/16,1590
8/27/16,1103
8/28/16,1288
8/29/16,4367
8/30/16,1240
8/31/16,1228
9/1/16,1287
9/2/16,1191
9/3/16,943
9/4/16,884
9/5/16,1012
9/6/16,1872
9/7/16,1645
9/8/16,1492
9/9/16,1618
9/10/16,1882
9/11/16,1272
9/12/16,1291
9/13/16,1453
9/14/16,2093
